Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-10-30,Metz,St Etienne,D,9,10,4,3,16,11,5,8,0,3,0,0
2021-10-30,Lyon,Lens,H,13,18,4,10,7,13,3,5,1,2,0,0
2021-10-31,Angers,Nice,A,3,14,2,5,14,9,3,8,1,2,0,0
2021-10-31,Bordeaux,Reims,H,17,12,7,8,5,10,12,2,3,2,0,0
2021-10-31,Montpellier,Nantes,H,19,12,10,1,12,23,5,5,3,5,0,0
2021-10-31,Strasbourg,Lorient,H,15,5,6,0,12,10,6,3,1,0,0,0
2021-10-31,Troyes,Rennes,D,14,13,5,5,6,15,5,12,0,1,0,0
2021-10-31,Brest,Monaco,H,7,5,3,2,8,17,2,5,1,5,0,0
2021-10-31,Clermont,Marseille,A,12,9,1,4,14,11,4,2,1,4,0,0
2021-11-05,Lens,Troyes,H,28,14,12,6,14,8,4,2,1,1,0,0
2021-11-06,Lille,Angers,D,11,9,6,5,13,9,4,8,2,2,1,0
2021-11-06,Bordeaux,Paris SG,A,18,9,6,5,9,10,10,5,2,1,0,0
2021-11-07,Rennes,Lyon,H,25,6,12,4,12,12,7,2,2,2,0,0
2021-11-07,Nice,Montpellier,A,22,8,6,2,9,7,8,2,2,0,0,0
2021-11-07,St Etienne,Clermont,H,18,9,4,4,7,10,9,2,1,1,0,0
2021-11-07,Nantes,Strasbourg,D,20,17,6,6,15,12,9,5,2,1,0,1
2021-11-07,Lorient,Brest,A,9,16,3,5,10,8,3,6,1,1,1,0
2021-11-07,Marseille,Metz,D,15,12,3,4,8,9,9,7,1,3,0,1
2021-11-07,Reims,Monaco,D,11,12,4,3,9,13,5,6,0,2,0,0
2021-11-19,Monaco,Lille,D,17,15,8,8,15,16,6,5,3,5,1,0
2021-11-20,Paris SG,Nantes,H,14,12,7,6,8,12,4,3,1,2,1,0
2021-11-20,Rennes,Montpellier,H,30,4,7,2,9,10,8,2,1,3,0,1
2021-11-21,Troyes,St Etienne,A,15,14,3,4,13,11,6,8,1,4,0,0
2021-11-21,Clermont,Nice,A,18,9,6,4,7,16,3,5,1,4,0,0
2021-11-21,Strasbourg,Reims,D,21,10,3,3,8,13,5,4,1,4,0,0
2021-11-21,Angers,Lorient,H,8,10,4,3,15,13,6,3,4,0,0,0
2021-11-21,Brest,Lens,H,13,14,5,5,7,7,5,5,1,2,0,1
2021-11-21,Metz,Bordeaux,D,20,19,9,5,12,11,2,4,2,2,1,0
2021-11-26,Lens,Angers,D,9,12,4,5,15,6,5,5,2,0,0,0
2021-11-27,Lille,Nantes,D,10,7,3,3,7,12,12,1,1,2,0,1
2021-11-27,Nice,Metz,A,20,4,2,1,13,12,8,1,2,2,0,0
2021-11-28,St Etienne,Paris SG,A,8,15,4,8,7,10,5,5,3,1,1,0
2021-11-28,Bordeaux,Brest,A,16,14,4,4,13,11,5,2,3,1,0,0
2021-11-28,Lorient,Rennes,A,6,11,0,5,11,11,3,4,0,2,0,0
2021-11-28,Monaco,Strasbourg,D,8,7,3,4,12,9,4,3,2,1,0,0
2021-11-28,Reims,Clermont,H,12,4,3,0,13,13,4,1,2,2,0,0
2021-11-28,Montpellier,Lyon,A,15,11,6,3,7,15,8,5,1,4,0,0
2021-11-28,Marseille,Troyes,H,14,5,4,2,10,17,7,3,1,4,0,0
2021-12-01,Clermont,Lens,D,19,9,7,2,7,13,5,3,4,5,1,0
2021-12-01,Rennes,Lille,A,10,6,2,2,12,12,3,1,2,1,0,0
2021-12-01,Lyon,Reims,A,14,8,6,4,14,17,3,4,3,2,0,0
2021-12-01,Troyes,Lorient,H,10,9,3,3,12,11,4,3,1,1,0,0
2021-12-01,Nantes,Marseille,A,3,15,1,5,13,7,4,6,3,2,1,0
2021-12-01,Metz,Montpellier,A,20,10,7,7,14,9,7,4,2,2,0,0
2021-12-01,Brest,St Etienne,H,8,13,3,3,8,9,1,3,2,3,0,0
2021-12-01,Paris SG,Nice,D,22,4,5,2,5,13,6,5,2,2,0,0
2021-12-01,Strasbourg,Bordeaux,H,19,13,6,2,14,13,5,2,2,3,0,0
2021-12-01,Angers,Monaco,A,9,14,3,8,13,18,4,4,1,2,0,0
2021-12-04,Marseille,Brest,A,16,9,4,4,10,7,5,0,1,2,0,0
2021-12-04,Lille,Troyes,H,13,7,4,3,11,9,8,6,3,4,0,0
2021-12-04,Lens,Paris SG,D,18,13,7,6,12,9,8,5,2,2,0,0
2021-12-05,Bordeaux,Lyon,D,12,19,5,5,11,9,3,8,0,0,0,0
2021-12-05,Nice,Strasbourg,A,12,15,5,5,9,14,9,4,3,3,0,0
2021-12-05,Montpellier,Clermont,H,8,10,2,3,19,15,1,3,3,3,0,1
2021-12-05,Monaco,Metz,H,8,6,5,0,13,13,5,4,1,2,0,0
2021-12-05,Lorient,Nantes,A,17,5,2,1,8,13,8,3,1,3,0,0
2021-12-05,St Etienne,Rennes,A,12,18,2,10,10,7,7,2,1,0,0,0
2021-12-05,Reims,Angers,A,5,13,2,4,8,13,7,4,4,3,1,0
2021-12-10,Nantes,Lens,H,15,4,5,2,10,10,8,2,3,3,0,0
2021-12-11,Brest,Montpellier,A,17,9,6,4,16,6,8,2,2,1,0,0
2021-12-11,Reims,St Etienne,H,17,4,6,0,19,16,11,5,2,2,0,1
2021-12-12,Paris SG,Monaco,H,9,13,2,3,8,15,1,6,3,4,0,0
2021-12-12,Strasbourg,Marseille,A,11,8,3,3,10,12,8,3,2,1,0,0
2021-12-12,Metz,Lorient,H,5,17,3,6,10,8,3,8,2,2,0,0
2021-12-12,Rennes,Nice,A,20,7,8,3,10,11,11,6,1,4,0,0
2021-12-12,Angers,Clermont,A,12,17,3,3,8,12,8,3,1,2,0,0
2021-12-12,Troyes,Bordeaux,A,21,8,3,4,11,15,8,1,3,3,0,0
2021-12-12,Lille,Lyon,D,14,13,2,2,11,15,4,3,2,6,0,0
2021-12-22,Bordeaux,Lille,A,12,12,3,3,10,7,5,6,1,3,0,0
2021-12-22,Lorient,Paris SG,D,17,17,5,4,6,8,6,8,1,3,0,1
2021-12-22,Lyon,Metz,D,18,6,6,2,12,19,13,2,2,3,0,0
2021-12-22,Marseille,Reims,D,14,7,5,2,12,6,7,4,4,4,1,1
