Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2023-04-22,Hoffenheim,FC Koln,A,11,14,4,7,11,11,2,5,1,2,0,0
2023-04-22,Mainz,Bayern Munich,H,13,11,4,2,14,6,2,7,2,0,0,0
2023-04-22,Dortmund,Ein Frankfurt,H,14,9,7,2,10,13,5,2,2,3,0,0
2023-04-23,Freiburg,Schalke 04,H,25,10,12,4,9,10,6,5,1,2,0,0
2023-04-23,Leverkusen,RB Leipzig,H,8,26,6,8,10,9,0,9,3,5,0,1
2023-04-23,M'gladbach,Union Berlin,A,8,14,4,4,10,12,2,2,3,2,0,0
2023-04-28,Bochum,Dortmund,D,10,21,4,6,13,9,4,11,1,2,0,0
2023-04-29,Union Berlin,Leverkusen,D,7,8,1,2,9,8,6,4,1,1,0,0
2023-04-29,Schalke 04,Werder Bremen,H,21,11,10,1,9,17,11,3,4,3,0,0
2023-04-29,RB Leipzig,Hoffenheim,H,16,5,2,2,9,14,7,1,0,2,0,0
2023-04-29,FC Koln,Freiburg,A,21,12,8,6,15,7,9,6,1,1,0,0
2023-04-29,Ein Frankfurt,Augsburg,D,7,9,1,3,6,11,5,7,2,2,0,0
2023-04-29,Stuttgart,M'gladbach,H,18,9,5,4,11,14,5,8,2,2,0,1
2023-04-30,Bayern Munich,Hertha,H,25,2,9,1,5,8,18,1,2,0,0,0
2023-04-30,Wolfsburg,Mainz,H,10,10,4,2,6,10,3,5,1,3,0,0
2023-05-05,Leverkusen,FC Koln,A,14,7,4,5,8,13,9,2,1,6,0,0
2023-05-05,Mainz,Schalke 04,A,9,15,4,10,12,10,7,6,4,1,0,0
2023-05-06,Freiburg,RB Leipzig,A,5,13,2,6,9,11,3,3,2,4,0,0
2023-05-06,Hertha,Stuttgart,H,7,16,3,4,9,19,3,5,4,1,0,0
2023-05-06,Hoffenheim,Ein Frankfurt,H,8,19,5,6,17,14,1,11,2,4,1,0
2023-05-06,M'gladbach,Bochum,H,25,14,9,3,7,13,11,3,2,1,0,0
2023-05-06,Werder Bremen,Bayern Munich,A,12,12,2,4,14,11,1,11,2,1,0,0
2023-05-06,Augsburg,Union Berlin,H,11,12,3,4,10,14,3,7,2,2,0,0
2023-05-07,Dortmund,Wolfsburg,H,20,10,10,3,11,14,10,6,0,1,0,0
2023-05-12,FC Koln,Hertha,H,28,9,15,3,11,14,12,3,2,7,0,0
2023-05-13,Wolfsburg,Hoffenheim,H,8,10,3,2,17,12,3,7,2,2,0,0
2023-05-13,Dortmund,M'gladbach,H,33,13,13,8,10,12,10,4,0,2,0,0
2023-05-13,Ein Frankfurt,Mainz,H,17,10,7,4,4,10,5,1,1,3,0,0
2023-05-13,Bochum,Augsburg,H,15,12,8,2,13,16,7,7,3,2,0,0
2023-05-13,Bayern Munich,Schalke 04,H,23,8,14,0,10,10,4,3,0,3,0,0
2023-05-13,Union Berlin,Freiburg,H,10,13,4,8,18,13,1,7,3,1,0,0
2023-05-14,Stuttgart,Leverkusen,D,9,12,1,3,7,14,7,3,3,4,0,0
2023-05-14,RB Leipzig,Werder Bremen,H,20,6,7,2,12,20,3,2,2,5,0,0
2023-05-19,Freiburg,Wolfsburg,H,16,9,7,2,15,16,4,4,1,3,1,0
2023-05-20,Bayern Munich,RB Leipzig,A,17,16,4,8,8,11,7,2,1,1,0,0
2023-05-20,Hertha,Bochum,D,14,17,4,6,7,10,9,5,1,1,0,0
2023-05-20,Schalke 04,Ein Frankfurt,D,11,6,4,3,11,16,8,3,3,4,0,0
2023-05-20,Hoffenheim,Union Berlin,H,10,20,5,4,15,15,1,5,4,5,0,0
2023-05-20,Werder Bremen,FC Koln,D,13,13,6,4,10,9,4,9,4,2,0,0
2023-05-21,Augsburg,Dortmund,A,4,28,1,10,12,9,3,8,3,3,1,0
2023-05-21,Leverkusen,M'gladbach,D,13,9,6,5,12,15,2,3,3,3,1,0
2023-05-21,Mainz,Stuttgart,A,9,8,6,6,18,11,6,3,3,1,0,0
2023-05-27,Bochum,Leverkusen,H,10,11,5,2,12,12,2,5,5,5,0,1
2023-05-27,Dortmund,Mainz,D,30,10,12,4,5,14,6,3,1,1,0,0
2023-05-27,Ein Frankfurt,Freiburg,H,14,13,8,7,13,10,3,6,4,2,0,0
2023-05-27,FC Koln,Bayern Munich,A,9,11,3,3,11,8,7,3,3,0,0,0
2023-05-27,M'gladbach,Augsburg,H,17,9,7,3,5,19,4,4,0,1,0,1
2023-05-27,RB Leipzig,Schalke 04,H,19,16,12,4,13,11,4,5,2,2,0,0
2023-05-27,Stuttgart,Hoffenheim,D,19,8,4,2,12,10,9,2,0,0,0,0
2023-05-27,Wolfsburg,Hertha,A,19,9,9,5,9,18,7,3,1,5,0,0
2023-05-27,Union Berlin,Werder Bremen,H,16,7,4,4,9,10,15,1,1,3,0,0
2023-08-18,Werder Bremen,Bayern Munich,A,6,25,1,10,16,11,0,6,2,1,0,0
2023-08-19,Hoffenheim,Freiburg,A,24,17,5,8,9,9,4,2,0,1,0,0
2023-08-19,Dortmund,FC Koln,H,12,11,2,4,13,11,6,3,1,0,0,0
2023-08-19,Wolfsburg,Heidenheim,H,18,13,8,1,10,9,1,7,3,0,0,0
2023-08-19,Augsburg,M'gladbach,D,20,9,8,6,9,14,8,7,1,2,0,0
2023-08-19,Leverkusen,RB Leipzig,H,11,13,7,6,13,10,4,5,1,2,0,0
2023-08-19,Stuttgart,Bochum,H,19,4,9,1,5,12,7,0,1,1,0,0
2023-08-20,Ein Frankfurt,Darmstadt,H,10,11,4,2,9,14,7,3,2,3,0,0
2023-08-20,Union Berlin,Mainz,H,12,9,7,3,15,16,3,1,1,5,0,0
2023-08-25,RB Leipzig,Stuttgart,H,20,8,11,3,12,10,4,4,1,1,0,0
2023-08-26,Bochum,Dortmund,D,17,13,6,3,21,7,5,4,2,1,0,0
2023-08-26,Darmstadt,Union Berlin,A,18,12,6,6,15,12,3,5,2,2,0,1
2023-08-26,FC Koln,Wolfsburg,A,14,9,2,6,6,10,6,1,1,5,0,0
2023-08-26,Freiburg,Werder Bremen,H,23,16,6,2,9,8,5,5,2,2,0,0
2023-08-26,Heidenheim,Hoffenheim,A,19,16,9,6,13,9,10,6,1,5,0,0
2023-08-26,M'gladbach,Leverkusen,A,13,24,2,10,7,8,5,8,2,3,0,0
2023-08-27,Mainz,Ein Frankfurt,D,13,8,7,2,23,12,5,4,3,4,0,1
2023-08-27,Bayern Munich,Augsburg,H,19,11,6,2,13,8,10,4,1,2,0,0
2023-09-01,Dortmund,Heidenheim,D,20,15,9,6,9,22,3,6,3,3,0,0
2023-09-02,M'gladbach,Bayern Munich,A,8,25,3,9,5,20,1,15,0,2,0,0
2023-09-02,Werder Bremen,Mainz,H,12,12,6,3,18,14,1,7,2,2,0,0
2023-09-02,Stuttgart,Freiburg,H,13,11,6,5,9,10,2,4,1,1,0,0
2023-09-02,Hoffenheim,Wolfsburg,H,11,14,5,7,12,15,3,3,2,2,0,0
2023-09-02,Augsburg,Bochum,D,11,22,3,9,15,13,3,5,2,2,0,0
2023-09-02,Leverkusen,Darmstadt,H,24,5,13,1,8,11,4,2,3,2,0,0
2023-09-03,Ein Frankfurt,FC Koln,D,12,6,4,2,10,10,8,1,1,3,0,0
2023-09-03,Union Berlin,RB Leipzig,A,4,15,1,8,16,9,3,7,3,1,1,0
2023-09-15,Bayern Munich,Leverkusen,D,15,12,9,5,6,6,7,4,0,3,0,0
2023-09-16,Bochum,Ein Frankfurt,D,24,8,10,6,13,14,8,2,3,2,0,0
2023-09-16,Wolfsburg,Union Berlin,H,8,17,3,5,6,8,3,7,1,0,0,0
2023-09-16,Mainz,Stuttgart,A,15,16,3,6,12,9,6,4,1,2,0,0
2023-09-16,Freiburg,Dortmund,A,14,14,4,6,12,16,6,8,2,3,1,0
2023-09-16,FC Koln,Hoffenheim,A,17,17,7,5,15,14,13,4,4,4,1,0
2023-09-16,RB Leipzig,Augsburg,H,9,16,6,4,16,12,1,6,0,0,0,0
2023-09-17,Heidenheim,Werder Bremen,H,19,11,4,4,21,9,10,1,1,1,0,0
2023-09-17,Darmstadt,M'gladbach,D,15,21,8,10,12,8,6,6,1,1,1,0
2023-09-22,Stuttgart,Darmstadt,H,18,3,11,0,7,12,5,4,1,6,0,0
2023-09-23,Werder Bremen,FC Koln,H,17,13,6,5,18,16,9,8,2,1,0,0
2023-09-23,Union Berlin,Hoffenheim,A,22,11,6,4,11,13,11,6,1,3,0,0
2023-09-23,M'gladbach,RB Leipzig,A,13,8,1,4,14,7,11,6,1,1,0,0
2023-09-23,Bayern Munich,Bochum,H,26,4,16,1,8,10,8,1,0,1,0,0
2023-09-23,Dortmund,Wolfsburg,H,18,8,4,2,9,14,5,3,0,1,0,0
2023-09-23,Augsburg,Mainz,H,6,13,3,3,16,14,3,4,2,3,1,0
2023-09-24,Leverkusen,Heidenheim,H,20,1,10,1,9,10,7,2,1,1,0,0
2023-09-24,Ein Frankfurt,Freiburg,D,13,9,5,2,12,5,7,3,4,2,0,0
2023-09-29,Hoffenheim,Dortmund,A,15,6,5,5,14,16,4,3,3,4,0,1
2023-09-30,Bochum,M'gladbach,A,23,25,5,9,12,12,5,10,2,3,0,0
2023-09-30,FC Koln,Stuttgart,A,14,18,5,4,16,8,8,4,2,1,0,0
2023-09-30,Heidenheim,Union Berlin,H,9,19,4,8,11,14,5,7,1,2,0,0
2023-09-30,Wolfsburg,Ein Frankfurt,H,19,7,7,3,11,18,7,4,1,6,0,1
2023-09-30,RB Leipzig,Bayern Munich,D,7,11,2,5,10,11,5,1,2,5,0,0
2023-09-30,Mainz,Leverkusen,A,10,6,3,3,13,11,3,1,4,1,0,0
2023-10-01,Darmstadt,Werder Bremen,H,14,10,5,7,19,19,2,4,3,2,0,0
2023-10-01,Freiburg,Augsburg,H,7,13,3,4,13,17,2,3,2,2,0,0
2023-10-06,M'gladbach,Mainz,D,20,13,9,7,9,9,10,3,3,1,0,0
2023-10-07,Stuttgart,Wolfsburg,H,13,12,7,5,13,14,5,6,1,3,0,0
2023-10-07,Werder Bremen,Hoffenheim,A,13,11,3,4,15,6,4,4,5,4,0,0
2023-10-07,RB Leipzig,Bochum,D,18,9,5,2,10,13,9,1,2,4,0,0
2023-10-07,Augsburg,Darmstadt,A,17,17,3,5,13,12,4,4,4,2,0,0
