Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-10-31,Inter,Udinese,H,15,9,6,5,9,11,6,4,0,2,0,0
2021-10-31,Genoa,Venezia,D,19,6,4,2,13,13,12,4,1,3,0,0
2021-11-01,Bologna,Cagliari,H,8,9,3,2,11,9,5,2,3,2,0,1
2021-11-05,Empoli,Genoa,D,10,15,2,7,8,21,4,5,0,4,0,0
2021-11-06,Spezia,Torino,H,7,9,3,1,15,17,2,3,3,3,0,0
2021-11-06,Juventus,Fiorentina,H,13,6,3,1,15,15,5,5,2,4,0,1
2021-11-06,Cagliari,Atalanta,A,7,21,1,8,11,9,2,7,1,1,0,0
2021-11-07,Napoli,Verona,D,16,11,1,3,16,19,3,2,2,7,0,2
2021-11-07,Lazio,Salernitana,H,16,5,5,0,7,14,5,1,1,2,0,0
2021-11-07,Milan,Inter,D,16,13,4,3,16,11,4,8,1,0,0,0
2021-11-07,Sampdoria,Bologna,A,10,14,4,7,14,12,6,5,4,1,0,0
2021-11-07,Venezia,Roma,H,13,27,7,10,12,18,4,11,2,2,0,0
2021-11-07,Udinese,Sassuolo,H,13,10,2,4,14,15,1,5,3,3,1,0
2021-11-20,Atalanta,Spezia,H,18,10,9,5,10,11,0,6,2,3,0,0
2021-11-20,Lazio,Juventus,A,8,11,1,5,12,15,3,2,3,1,0,0
2021-11-20,Fiorentina,Milan,H,9,17,5,7,6,10,5,6,1,1,0,0
2021-11-21,Sassuolo,Cagliari,D,20,11,4,4,13,10,6,5,1,2,0,0
2021-11-21,Bologna,Venezia,A,22,8,6,6,6,9,17,0,0,3,0,0
2021-11-21,Salernitana,Sampdoria,A,18,13,2,6,10,19,13,3,0,3,0,0
2021-11-21,Inter,Napoli,H,17,9,7,3,15,16,4,1,4,3,0,0
2021-11-21,Genoa,Roma,A,1,19,1,4,13,13,1,2,3,2,0,0
2021-11-22,Torino,Udinese,H,14,18,4,7,19,17,4,7,1,3,0,0
2021-11-22,Verona,Empoli,H,22,9,5,4,7,13,1,3,1,3,0,0
2021-11-26,Cagliari,Salernitana,D,19,8,3,2,13,10,7,6,3,1,0,0
2021-11-27,Empoli,Fiorentina,H,17,16,5,7,15,10,8,5,1,1,0,0
2021-11-27,Sampdoria,Verona,H,15,14,5,3,13,16,4,5,4,1,0,0
2021-11-27,Juventus,Atalanta,A,15,7,2,1,13,20,6,4,4,5,0,0
2021-11-27,Venezia,Inter,A,6,27,1,11,9,4,3,9,2,0,0,0
2021-11-28,Udinese,Genoa,D,17,8,3,2,18,11,8,1,3,4,0,0
2021-11-28,Milan,Sassuolo,A,15,15,2,5,15,7,7,6,4,2,1,0
2021-11-28,Spezia,Bologna,A,13,17,5,5,16,12,3,6,3,1,0,0
2021-11-28,Roma,Torino,H,10,17,2,3,7,11,2,9,2,1,0,0
2021-11-28,Napoli,Lazio,H,18,6,8,2,9,14,1,3,2,4,0,0
2021-11-30,Verona,Cagliari,D,15,12,6,4,15,12,11,1,3,2,0,0
2021-11-30,Salernitana,Juventus,A,4,18,0,7,14,9,4,4,1,1,0,0
2021-11-30,Atalanta,Venezia,H,19,8,6,4,11,9,4,2,0,1,0,0
2021-11-30,Fiorentina,Sampdoria,H,17,11,7,4,6,16,3,6,0,3,0,0
2021-12-01,Bologna,Roma,H,6,13,3,5,9,18,3,3,3,4,0,0
2021-12-01,Inter,Spezia,H,31,7,11,4,18,10,11,1,1,2,0,0
2021-12-01,Genoa,Milan,A,10,18,3,5,11,16,2,6,2,1,0,0
2021-12-01,Sassuolo,Napoli,D,9,9,7,4,10,19,5,4,4,2,0,0
2021-12-02,Torino,Empoli,D,10,16,3,5,9,15,1,11,1,3,1,0
2021-12-02,Lazio,Udinese,D,13,12,5,5,11,11,5,4,3,5,1,2
2021-12-04,Roma,Inter,A,9,10,1,4,9,6,4,4,3,1,0,0
2021-12-04,Napoli,Atalanta,A,15,21,4,7,16,18,6,7,2,3,0,0
2021-12-04,Milan,Salernitana,H,22,7,8,2,11,9,9,5,1,2,0,0
2021-12-05,Bologna,Fiorentina,A,8,6,3,3,12,15,0,2,3,3,0,0
2021-12-05,Spezia,Sassuolo,D,9,20,4,5,11,9,2,5,4,3,0,0
2021-12-05,Venezia,Verona,A,9,16,5,6,13,14,1,6,2,2,1,0
2021-12-05,Sampdoria,Lazio,A,18,6,5,5,13,9,7,0,4,3,0,1
2021-12-05,Juventus,Genoa,H,27,0,12,0,15,7,5,1,3,1,0,0
2021-12-06,Empoli,Udinese,H,22,19,9,8,12,18,8,6,4,3,0,0
