Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-12-05,Celta,Valencia,A,11,8,5,5,10,22,6,4,3,2,0,0
2021-12-05,Vallecano,Espanol,H,7,10,0,3,18,11,6,3,3,3,0,1
2021-12-06,Getafe,Ath Bilbao,D,17,9,5,3,14,14,5,3,2,1,0,0
2021-12-10,Mallorca,Celta,D,12,14,1,5,14,11,7,4,3,2,0,0
2021-12-11,Espanol,Levante,H,17,14,8,5,9,15,4,2,4,4,0,1
2021-12-11,Alaves,Getafe,D,9,11,1,2,18,15,1,1,4,4,1,0
2021-12-11,Valencia,Elche,H,21,8,8,4,15,12,8,1,3,2,0,0
2021-12-11,Ath Bilbao,Sevilla,A,13,6,2,1,17,10,9,2,4,3,0,0
2021-12-12,Betis,Sociedad,H,11,15,5,5,12,10,4,7,3,1,0,0
2021-12-12,Real Madrid,Ath Madrid,H,7,9,3,6,17,15,3,6,2,3,0,0
2021-12-12,Osasuna,Barcelona,D,8,10,3,2,16,16,6,5,5,4,0,0
2021-12-12,Villarreal,Vallecano,H,13,19,5,7,16,14,5,6,1,3,0,0
2021-12-13,Cadiz,Granada,D,13,16,3,5,14,10,8,1,5,0,1,0
2021-12-17,Celta,Espanol,H,12,6,5,3,13,5,3,3,2,1,0,0
2021-12-18,Vallecano,Alaves,H,20,6,5,4,12,19,5,5,1,2,0,0
2021-12-18,Sociedad,Villarreal,A,8,15,4,8,9,15,5,5,2,3,1,0
2021-12-18,Barcelona,Elche,H,19,5,8,3,13,17,5,0,1,3,0,0
2021-12-18,Sevilla,Ath Madrid,H,6,15,2,3,15,14,4,7,2,1,0,0
2021-12-19,Getafe,Osasuna,H,18,11,4,2,14,8,4,3,3,1,0,0
2021-12-19,Granada,Mallorca,H,15,8,6,5,12,15,4,2,3,2,0,0
2021-12-19,Ath Bilbao,Betis,H,9,16,6,8,7,12,5,6,1,3,0,0
2021-12-19,Real Madrid,Cadiz,D,36,4,9,0,9,10,13,2,1,1,0,0
2021-12-20,Levante,Valencia,A,15,15,9,8,21,11,6,4,3,4,0,0
2021-12-21,Villarreal,Alaves,H,24,4,10,2,16,14,6,2,0,2,0,0
2021-12-21,Sevilla,Barcelona,D,5,23,1,7,15,13,4,9,2,3,1,0
2021-12-22,Granada,Ath Madrid,H,6,15,4,3,17,7,2,7,4,1,0,0
2021-12-22,Ath Bilbao,Real Madrid,A,15,12,2,7,17,7,7,0,2,2,0,0
2021-12-31,Valencia,Espanol,A,12,15,2,4,19,14,7,5,7,3,1,0
2022-01-02,Betis,Celta,A,18,7,7,5,15,11,3,3,1,2,0,0
2022-01-02,Alaves,Sociedad,D,19,10,5,4,22,10,2,3,3,3,0,0
2022-01-02,Mallorca,Barcelona,A,13,13,3,4,22,24,4,3,5,2,0,0
2022-01-02,Ath Madrid,Vallecano,H,15,5,5,0,14,12,8,2,3,0,0,0
2022-01-02,Getafe,Real Madrid,H,6,14,3,4,20,8,2,9,3,2,0,0
2022-01-02,Elche,Granada,D,18,10,2,5,18,15,6,3,3,3,1,0
2022-01-03,Osasuna,Ath Bilbao,A,15,17,4,5,12,7,4,5,5,2,1,0
2022-01-03,Villarreal,Levante,H,17,7,7,3,12,9,6,5,3,2,0,0
2022-01-03,Cadiz,Sevilla,A,9,14,2,4,5,9,2,8,0,1,0,0
2022-01-08,Levante,Mallorca,H,16,15,8,8,20,11,5,5,3,1,1,0
2022-01-08,Sociedad,Celta,H,12,4,3,0,10,18,6,4,3,3,0,0
2022-01-08,Granada,Barcelona,D,14,13,4,1,9,21,3,2,2,5,0,1
2022-01-08,Real Madrid,Valencia,H,23,12,8,7,15,24,3,8,3,3,0,0
2022-01-09,Osasuna,Cadiz,H,15,6,5,1,13,13,5,7,2,2,0,0
2022-01-09,Alaves,Ath Bilbao,D,12,10,1,2,15,11,7,5,2,0,0,0
2022-01-09,Villarreal,Ath Madrid,D,13,7,3,5,13,8,7,3,0,2,0,1
2022-01-09,Vallecano,Betis,D,17,9,7,5,18,13,6,4,1,3,0,1
2022-01-09,Sevilla,Getafe,H,10,4,1,2,8,20,5,2,1,3,0,0
2022-01-10,Espanol,Elche,A,8,3,3,2,13,18,13,0,4,6,0,0
2022-01-16,Elche,Villarreal,H,5,9,2,4,12,15,3,8,4,3,0,0
2022-01-18,Betis,Alaves,H,18,9,5,2,14,14,8,3,2,0,0,0
2022-01-18,Cadiz,Espanol,D,10,14,4,7,14,9,3,2,5,1,0,0
